tract,Name,Household_Income_rP_gM_pall
24033802104,"District Heights, MD",29860
24031702301,"Silver Spring, MD",29753
11001005002,"Downtown, Washington, DC",29684
11001009201,"Edgewood, Washington, DC",29562
11001009301,"Northeast Washington, Washington, DC",29308
51510201203,"Potomac West, Alexandria, VA",29231
24031701702,"Takoma Park, MD",29094
11001005201,"Downtown, Washington, DC",29067
11001009400,"Northeast Washington, Washington, DC",28669
24033803801,"Hyattsville, MD",28586
24031701900,"Takoma Park, MD",28560
11001002801,"Columbia Heights, Washington, DC",28558
24033803612,"Lanham, MD",28547
11001002101,"Brightwood Park, Washington, DC",28514
11001003302,"Bloomingdale, Washington, DC",28462
24033803900,"Hyattsville, MD",28399
24033801805,"Temple Hills, MD",28378
11001007603,"Southeast Washington, Washington, DC",28356
24033804600,"Brentwood, MD",28339
11001002501,"16th Street Heights, Washington, DC",28290
11001002202,"Northwest Washington, Washington, DC",28265
24033802502,"Capitol Heights, MD",28103
11001011100,"Northeast Washington, Washington, DC",28032
11001005900,"Northwest Washington, Washington, DC",27973
24033802804,"Capitol Heights, MD",27817
11001002201,"Northwest Washington, Washington, DC",27816
24033805601,"Hyattsville, MD",27788
11001009604,"Northeast Washington, Washington, DC",27743
24033801804,"Temple Hills, MD",27678
24033803002,"Capitol Heights, MD",27402
24033804801,"Mount Rainier, MD",27300
24033803508,"Glenarden, MD",27262
11001007604,"Southeast Washington, Washington, DC",27188
11001004902,"Downtown, Washington, DC",27136
24033801702,"Temple Hills, MD",27038
11001009203,"Northeast Washington, Washington, DC",26953
24033804300,"Hyattsville, MD",26805
24033804802,"Mount Rainier, MD",26802
11001003000,"Columbia Heights, Washington, DC",26769
11001008402,"Northeast Washington, Washington, DC",26640
24033801701,"Temple Hills, MD",26542
24033801500,"Oxon Hill, MD",26534
11001008001,"Northeast Washington, Washington, DC",26365
11001002102,"Northwest Washington, Washington, DC",26315
24033801907,"Suitland, Suitland-Silver Hill, MD",26261
11001003200,"Northwest Washington, Washington, DC",26208
11001007806,"Northeast Washington, Washington, DC",26154
24033802001,"Suitland, Suitland-Silver Hill, MD",26012
24033801808,"Hillcrest Heights, MD",25744
24033802002,"District Heights, MD",25728
11001002900,"Northwest Washington, Washington, DC",25650
11001009803,"Congress Heights, Washington, DC",25565
24033802700,"Capitol Heights, MD",25565
24033801807,"Hillcrest Heights, MD",25538
24033803525,"Hyattsville, MD",25531
11001006900,"Southeast Washington, Washington, DC",25471
24033803100,"Capitol Heights, MD",25346
24033802901,"Capitol Heights, MD",25255
24033802501,"Suitland, Suitland-Silver Hill, MD",25225
24033801704,"Oxon Hill, MD",25208
11001003700,"Northwest Washington, Washington, DC",25173
11001004400,"Northwest Washington, Washington, DC",25075
11001003301,"Bloomingdale, Washington, DC",25019
11001004201,"Northwest Washington, Washington, DC",24985
24033803300,"Hyattsville, MD",24875
24033802107,"District Heights, MD",24863
11001010500,"Southwest Washington, Washington, DC",24771
24033801802,"Temple Hills, MD",24726
24033802404,"District Heights, MD",24661
51510201204,"Del Ray, Alexandria, VA",24585
11001009804,"Southeast Washington, Washington, DC",24523
11001003600,"Columbia Heights, Washington, DC",24346
24033802408,"Capitol Heights, MD",24283
24033802406,"Suitland, Suitland-Silver Hill, MD",24268
11001009902,"Southeast Washington, Washington, DC",24138
24033801707,"Oxon Hill, MD",24093
24033802803,"Capitol Heights, MD",24056
24033802106,"Suitland-Silver Hill, MD",24030
11001003800,"Northwest Washington, Washington, DC",23973
11001004802,"Northwest Washington, Washington, DC",23915
24033803402,"Landover, Hyattsville, MD",23906
11001007809,"Northeast Washington, Washington, DC",23866
11001007707,"Benning Ridge, Washington, DC",23820
11001002301,"Northwest Washington, Washington, DC",23819
11001007803,"Lower Central NE, Washington, DC",23748
24033803001,"Capitol Heights, MD",23747
11001008701,"Eckington, Washington, DC",23736
24033802405,"Suitland, Suitland-Silver Hill, MD",23700
11001009601,"Kenilworth, Washington, DC",23665
11001009807,"Bellevue, Washington, DC",23567
24033801908,"Suitland, Suitland-Silver Hill, MD",23448
11001009905,"Marshall Heights, Washington, DC",23300
24033802407,"District Heights, MD",23279
11001009302,"Brookland, Washington, DC",23191
24033802600,"Capitol Heights, MD",23172
11001009501,"Northeast Washington, Washington, DC",23040
24033804001,"Bladensburg, MD",23013
11001007703,"Fort Dupont, Washington, DC",22985
24033801801,"Temple Hills, MD",22972
11001006802,"Barney Circle, Washington, DC",22858
11001007903,"Kingman Park, Washington, DC",22818
11001004600,"Northwest Washington, Washington, DC",22755
11001009603,"Northeast Washington, Washington, DC",22713
11001007000,"Southeast Washington, Washington, DC",22649
11001003500,"Northwest Washington, Washington, DC",22627
24033803401,"Landover, Hyattsville, MD",22574
11001007807,"Northeast Washington, Washington, DC",22551
11001003400,"Howard University, Washington, DC",22376
24033803200,"Hyattsville, MD",22347
11001008410,"Northeast Washington, Washington, DC",22265
11001006801,"Hill East, Washington, DC",22234
11001009903,"Southeast Washington, Washington, DC",22103
11001007808,"Grant Park, Washington, DC",22087
11001007708,"Southeast Washington, Washington, DC",22041
11001008002,"Northeast Washington, Washington, DC",22035
11001007403,"Shipley, Washington, DC",21934
24033801600,"Oxon Hill, MD",21922
24033803509,"Dodge Park, Hyattsville, MD",21678
11001007605,"Fairlawn, Washington, DC",21659
11001007100,"Southeast Washington, Washington, DC",21630
11001007304,"Congress Heights, Washington, DC",21587
24033802805,"Pepper Mill Village, Capitol Heights, MD",21536
11001003100,"Northwest Washington, Washington, DC",21526
11001007503,"Historic Anacostia, Washington, DC",21157
11001008803,"Northeast Washington, Washington, DC",20915
11001009700,"Southeast Washington, Washington, DC",20700
11001010400,"Southeast Washington, Washington, DC",20590
11001005001,"Logan Circle, Washington, DC",20505
11001007709,"Fairlawn, Washington, DC",20454
11001009602,"Mayfair, Washington, DC",20357
11001006400,"Southwest Washington, Washington, DC",20221
11001009801,"Southeast Washington, Washington, DC",20013
11001008702,"Eckington, Washington, DC",19922
11001008802,"Northeast Washington, Washington, DC",19909
11001009907,"Southeast Washington, Washington, DC",19843
11001009102,"Brentwood, Washington, DC",19805
11001007601,"Southeast Washington, Washington, DC",19761
11001010600,"Near Northeast, Washington, DC",19750
11001007409,"Southeast Washington, Washington, DC",19300
11001004801,"Northwest Washington, Washington, DC",19246
11001007502,"Southeast Washington, Washington, DC",19231
11001009904,"Marshall Heights, Washington, DC",19111
11001004901,"Northwest Washington, Washington, DC",19069
11001007901,"Northeast Washington, Washington, DC",19061
11001009810,"Southeast Washington, Washington, DC",18508
